instruction,input,output,topic,severity
How often should my newborn feed?,,"About 8–12 times in 24 hours, especially in the first weeks. Watch hunger cues and track diapers. Contact care for poor feeding, very sleepiness, or fewer wet diapers.",newborn_care,green
What temperature is a fever in a newborn?,,A rectal temperature of 100.4°F (38.0°C) or higher in babies under 3 months needs urgent evaluation. Contact your pediatric clinician or go to the emergency department.,newborn_care,red
My 2-week-old is very sleepy and hard to wake for feeds.,,"This needs prompt attention. Try gentle stimulation and skin-to-skin, and contact your pediatric clinician now. Seek urgent care if baby is difficult to arouse or not feeding.",newborn_care,red
My newborn spits up after feeds.,,"Spit-up is common. Keep baby upright 20–30 minutes after feeds and avoid over-feeding. Seek care for forceful vomiting, poor weight gain, or signs of dehydration.",newborn_care,green
How many wet diapers should my baby have?,,"By the end of the first week, expect at least 6 wet diapers daily. Fewer can signal low intake or dehydration—contact your pediatric clinician if concerned.",newborn_care,green
My baby’s skin looks more yellow today.,,"Jaundice is common in week 1. Feed often and monitor alertness and diapers. If yellowing spreads to legs, baby is very sleepy, not feeding well, or jaundice starts in the first 24 hours, contact pediatric care urgently.",newborn_care,yellow
My baby is breathing fast with chest pulling in.,,Emergency. Fast breathing with chest retractions or grunting needs immediate care. Call 911 or go to the emergency department now.,newborn_care,red
Is it okay if my newborn sleeps a lot during the day?,,"Newborns sleep many hours but should wake to feed every 2–3 hours. If baby skips feeds or is hard to arouse, contact your pediatric clinician.",newborn_care,yellow
How do I care for the umbilical cord stump?,,"Keep it clean and dry; fold the diaper below the stump. It usually falls off in 1–2 weeks. Contact care for pus, foul odor, or redness spreading on the skin.",newborn_care,green
There’s a little blood on the diaper from the cord area.,,"A small amount can occur as the stump separates. Keep the area dry and monitor. Contact care for ongoing bleeding, pus, or redness spreading on the belly.",newborn_care,yellow
What are normal newborn stool colors?,,"Mustard yellow, green, or brown can be normal. Bright red blood, white, or black (after meconium phase) requires prompt contact with your pediatric clinician.",newborn_care,yellow
How warm should the room be for sleep?,,"Keep the room comfortably cool and avoid overheating. Dress baby in one more layer than you. If baby is sweaty or very hot, remove a layer.",newborn_care,green
Is it normal for my newborn to have acne on the face?,,"Baby acne is common and usually clears on its own. Wash with water, avoid harsh products, and be patient. Contact care if it worsens or appears infected.",newborn_care,green
When will my baby start smiling?,,"Many babies show a social smile by 1–3 months when they see or hear you. If there is no responsive smile by 3 months, schedule a pediatric check.",development_1to3mo,yellow
My baby doesn’t follow moving objects yet at 2 months.,,"Tracking improves by 2–3 months. Try bright, slow-moving objects in good light. If you see no tracking by 3 months, contact your pediatric clinician.",development_1to3mo,yellow
What are normal reflexes in the first months?,,"Rooting, sucking, Moro, and grasp reflexes are common early on and fade over time. If reflexes seem absent or persist strongly beyond typical windows, contact your clinician.",development_1to3mo,green
How can I help neck strength?,,"Offer supervised tummy time several times a day, starting short and increasing as baby tolerates. Praise efforts and keep sessions playful.",development_1to3mo,green
My baby isn’t smiling back at me at 3 months.,,This deserves a pediatric check. Continue engaging with talking and gentle play. Schedule an appointment to discuss development.,development_1to3mo,yellow
When do babies roll over?,,"Some start rolling front-to-back around 3–4 months, with variation. Ensure safe spaces for practice. Contact your clinician if you’re concerned about delays or sudden regression.",development_1to3mo,green
My baby doesn’t respond to loud sounds.,,Hearing concerns should be checked promptly. Contact your pediatric clinician for evaluation.,development_1to3mo,red
What toys are safe for 1–3 months?,,"High-contrast books, soft rattles, and simple mobiles are engaging. Avoid small parts, cords, and heavy objects overhead. Supervise play.",development_1to3mo,green
How can I support social development?,,"Hold baby face-to-face, talk and sing, and respond to coos and expressions. Short, frequent interactions build connection and learning.",development_1to3mo,green
Is tummy time safe right after feeding?,,Wait a little after feeds to reduce spit-up. Keep sessions short and stop if baby is uncomfortable. Place baby on their back for sleep.,development_1to3mo,green
My baby startles a lot when I put him down.,,The Moro reflex is common and fades over time. Swaddling for sleep (until signs of rolling) and calm transitions can help. Stop swaddling once rolling begins.,development_1to3mo,green
Safe sleep basics?,,"Place baby on the back for every sleep on a firm, flat surface with a fitted sheet only. No pillows, blankets, bumpers, or toys. Share a room, not a bed, and avoid overheating and smoke exposure.",safety,green
Can my newborn sleep in a car seat at home?,,"Car seats are for travel. For sleep, move baby to a firm, flat crib or bassinet. If baby falls asleep in the car seat, transfer when safe to do so.",safety,yellow
Is it safe to use a baby sleep positioner?,,"Avoid sleep positioners and wedges. Keep the sleep space simple and flat. If reflux is a concern, discuss safe options with your clinician.",safety,green
We sometimes bed-share because I’m exhausted.,,"Fatigue is real, and safety matters. The safest setup is room-sharing without bed-sharing. If you do fall asleep while feeding, plan the safest possible surface and remove pillows and blankets. Seek support to improve rest.",safety,yellow
Grandparents smoke; can they hold the baby?,,"Ask them to smoke outside, wear a clean over-layer, and wash hands before holding baby. Keep indoor air smoke-free to protect your baby’s breathing and reduce SIDS risk.",safety,green
Can I heat a bottle in the microwave?,,Avoid microwaves due to hot spots. Warm by placing the bottle in warm water and swirl before feeding. Always test the temperature on your wrist.,safety,green
My baby rolled for the first time on the changing table.,,Rolling can start suddenly. Always keep a hand on baby and use the safety strap. Move supplies within reach to avoid turning away.,safety,yellow
Do I need a separate sleep room for my newborn?,,"Room-sharing for at least the first 6 months is recommended. Use a separate, firm sleep surface like a crib or bassinet.",safety,green
What vaccines are due in the first months?,,"Your pediatric clinician will guide the schedule. Early series often include DTaP, polio, Hib, pneumococcal, and rotavirus. Keep appointments and bring your vaccine card to visits.",admin,green
When should we schedule the first pediatric visit?,,"Most babies are seen within a few days after discharge, then regularly for weight checks and routine care. Follow your hospital’s instructions and call if you’re unsure.",admin,green
Should I call the clinic or go to the ER?,,"Call your clinic for routine questions or mild symptoms. Go to the ER for emergency signs like breathing difficulty, a rectal temp ≥100.4°F (38.0°C) in infants under 3 months, seizures, or unresponsiveness.",admin,yellow
How can I keep track of feeds and diapers?,,"Use a simple log or app to record feed times, amounts, and diapers. Bring notes to appointments to help your clinician assess growth and intake.",admin,green
My lochia smells foul and I feel feverish.,,These can be signs of infection. Contact your clinician promptly for evaluation. Seek urgent care if you feel very unwell.,postpartum_recovery,red
I’m changing pads every few hours but not hourly.,,"Increased flow after activity can happen. Rest, hydrate, and monitor. If bleeding increases toward hourly changes, clots enlarge, or you feel faint, contact your clinician.",postpartum_recovery,yellow
Lightheaded after a hot shower; bleeding normal.,,"Post-birth dizziness can occur with heat or standing quickly. Sit, hydrate, and rise slowly. If dizziness persists or is paired with heavy bleeding or chest pain, seek care.",postpartum_recovery,green
Painful urination and lower belly cramps.,,"Possible urinary infection. Increase fluids and contact your clinician today for testing. Seek urgent care for fever, back pain, or worsening symptoms.",postpartum_recovery,yellow
Can I use tampons at 3 weeks postpartum?,,"Use pads until your clinician clears you, often around 6 weeks, to reduce infection risk and protect healing tissues.",postpartum_recovery,green
Safe pain control while recovering?,,"Use the lowest effective doses as advised by your clinician. Rest, ice/heat packs, and gentle movement can help. Avoid medicines not cleared by your care team, especially while breastfeeding.",postpartum_recovery,green
My baby feeds every hour at night—normal?,,"Cluster feeding is common in growth spurts. Offer both sides, burp between sides, and rest when possible. If baby seems unsatisfied and diapers are few, contact your clinician.",breastfeeding,green
How long can breast milk stay in the fridge?,,"Refrigerated milk is generally good for up to 4 days at 4°C/39°F. Store in the back of the fridge and label dates. When in doubt, discard.",breastfeeding,green
Baby refuses the bottle; I return to work soon.,,"Practice once daily when baby is calm, try different nipples, and have another caregiver offer the bottle while you’re out of sight. Keep sessions short and positive.",breastfeeding,yellow
I see blood on my nipple shield.,,Small amounts can occur with cracks. Pause to protect healing if needed and express to maintain supply. Improve latch and review shield fit. Contact your clinician for persistent bleeding or pain.,breastfeeding,yellow
I feel fine but my partner says I seem very down.,,It helps to check in. Consider a brief screening with your clinician and accept help from your support circle. Early support can prevent symptoms from worsening.,mental_health,yellow
Panic attacks started a week after birth.,,You deserve relief. Practice slow breathing and grounding and contact your clinician to discuss treatment options. Seek urgent help if you feel unsafe or unable to care for yourself or your baby.,mental_health,yellow
What can help me cope with sleep loss?,,"Share night duties if possible, nap when the baby sleeps, keep lights dim at night, and lower non-essential tasks. If exhaustion leads to unsafe situations, ask for extra hands or discuss with your clinician.",mental_health,green
How to bathe a newborn safely?,,"Sponge baths until the cord falls off, then brief warm baths. Support the head and neck, test water temperature, and never leave baby unattended.",newborn_care,green
Baby hasn’t peed for 8 hours.,,"Encourage a feed now and contact your pediatric clinician for guidance, especially if baby seems sleepy or has dry mouth. Seek urgent care if signs of dehydration appear.",newborn_care,red
Stools are watery and frequent today.,,"Hydration and feeding are key. Monitor diapers and alertness. Contact your pediatric clinician if there’s blood, signs of dehydration, or baby is very sleepy or not feeding well.",newborn_care,yellow
White patches in baby’s mouth that don’t wipe off.,,This may be thrush. Contact your pediatric clinician for treatment. Sterilize nipples and pacifiers and wash hands well.,newborn_care,yellow
My baby has a mild rash on the cheeks.,,"Many newborn rashes are harmless and fade. Keep skin clean and dry, avoid new products, and monitor. Contact care if the rash spreads quickly, oozes, or baby seems unwell.",newborn_care,green
What if my baby sleeps longer than 4 hours at night?,,"Early on, babies should wake to feed at least every 3–4 hours. Gently wake for a feed if stretches are long. Ask your pediatric clinician when longer stretches are okay.",newborn_care,yellow
Baby’s hands and feet look bluish at times.,,Acrocyanosis can be normal when cold. Warmth usually restores color. Seek urgent care for persistent blue color of the lips or face or breathing difficulty.,newborn_care,yellow
Baby sneezes often.,,"Frequent sneezing can be normal as babies clear their noses. Use saline drops and a gentle bulb suction if congested. Contact care for fever, poor feeding, or breathing trouble.",newborn_care,green
What should I do about visitors and germs?,,"Ask visitors to wash hands, stay away if sick, and keep visits short. Avoid crowded indoor spaces early on. Your comfort and baby’s health come first.",safety,green
Is room temperature important for SIDS risk?,,Avoid overheating. Dress baby in one more layer than you and keep the room comfortably cool. Use a wearable blanket instead of loose blankets.,safety,green
Can I use a soft pillow in the crib?,,"Keep the sleep space empty—no pillows, blankets, or toys. A firm, flat mattress with a fitted sheet is safest.",safety,green
Should I swaddle my baby?,,"Swaddling can soothe some babies early on. Use a snug, hip-friendly technique and always place baby on the back. Stop swaddling when baby shows signs of rolling.",safety,green
What if my baby rolls while swaddled?,,Stop swaddling immediately and transition to a sleep sack. Rolling while swaddled increases risk.,safety,red
We missed a pediatric appointment.,,"Call to reschedule soon, especially for weight checks and vaccines. Bring any feeding or diaper logs to help your clinician assess growth.",admin,yellow
How do I prepare formula safely?,,"Wash hands, use clean bottles, follow label mixing instructions, and discard leftovers after a feed. Use safe water as directed for your product. Warm bottles in warm water, not the microwave.",newborn_care,green
Baby vomited forcefully across the room.,,"Forceful vomiting can signal a problem. Contact your pediatric clinician now. Seek urgent care if baby is lethargic, has green vomit, or shows signs of dehydration.",newborn_care,red
I’m bleeding less but it smells bad.,,"A foul smell can indicate infection. Contact your clinician for evaluation, especially if you have fever, pelvic pain, or feeling unwell.",postpartum_recovery,yellow
I feel dizzy and my heart is racing.,,"Sit or lie down and hydrate. If dizziness persists, you faint, or you have chest pain, shortness of breath, or heavy bleeding, seek urgent care.",postpartum_recovery,red
When can I return to work after birth?,,"Timing varies by recovery, feeding plans, and job demands. Many plan for about 6 weeks after vaginal birth and 8 weeks after C-section, but your clinician can tailor guidance to you.",admin,green
Baby hiccups a lot. Is that okay?,,"Hiccups are common and usually harmless. Offer a short break, burp, or brief feed. Contact care if baby seems distressed or has feeding trouble.",newborn_care,green
Baby has a rectal temperature of 100.6°F (38.1°C).,,Emergency. A rectal temp ≥100.4°F (38.0°C) in an infant under 3 months needs immediate evaluation. Go to the emergency department now.,newborn_care,red
I’m nervous about driving alone with the baby.,,"Plan the route, secure baby in a rear-facing car seat, and stop safely if baby needs attention. It gets easier with practice. Your caution shows care.",safety,green
My milk hasn’t come in by day 4.,,"Some parents see a slower increase. Feed or pump frequently, ensure a deep latch, and stay hydrated. Contact a lactation consultant or your clinician to optimize your plan and check baby’s weight.",breastfeeding,yellow
I noticed a lump in my breast that doesn’t go away after feeds.,,Persistent lumps need evaluation. Continue emptying the breast and contact your clinician to assess.,breastfeeding,yellow
Can I drink coffee while breastfeeding?,,"Moderate caffeine is usually okay. Some babies are sensitive. Try limiting intake and see how baby responds. If concerned, discuss with your clinician.",breastfeeding,green
Baby has only 3 wet diapers today.,,This can signal low intake or dehydration. Offer a feed now and contact your pediatric clinician for guidance today.,newborn_care,red
We live in a small apartment. Any safety tips?,,"Keep sleep space firm and clear, secure cords and hot drinks, and create a safe floor area for changing and play. Small adjustments make a big difference.",safety,green
My partner and I are arguing more since the baby arrived.,,"Many couples feel strain in the early weeks. Plan a brief daily check-in, ask for help to rest, and seek support if conflicts escalate. Your clinician can share resources.",mental_health,yellow
I have chills and body aches on day 6.,,"These can signal infection, including mastitis or uterine infection. Check your temperature and contact your clinician today. Seek urgent care if you feel very unwell.",postpartum_recovery,red
Is it okay to use a pacifier while breastfeeding?,,"Pacifiers can soothe. Consider waiting until breastfeeding is established, then offer after feeds. If supply or latch concerns arise, review with a lactation consultant.",breastfeeding,green
My baby’s soft spot looks slightly sunken.,,"A slightly sunken fontanelle can be normal when calm. If baby seems dehydrated (few wet diapers, dry mouth, very sleepy), contact your pediatric clinician promptly.",newborn_care,yellow
Baby coughs during feeds.,,"Try a more upright position and pace feeding with breaks. If cough is frequent, baby chokes, or breathing seems hard, contact your pediatric clinician.",newborn_care,yellow
I’m leaking urine when I laugh.,,"Pelvic floor changes are common. Gentle Kegel exercises and time can help. If leakage bothers you, ask your clinician about pelvic floor therapy.",postpartum_recovery,green
Can I take a bath after delivery?,,"Showers are preferred early. Baths are usually okay once bleeding decreases and perineal or incision healing is adequate; confirm with your clinician. Keep water warm, not hot.",postpartum_recovery,green
My emotions swing from fine to tearful in minutes.,,"Rapid mood shifts are common early. Rest, accept help, and talk with trusted people. If symptoms persist beyond two weeks or feel overwhelming, contact your clinician.",mental_health,green
