instruction,input,output,topic,severity
My baby rolled off the couch onto the floor.,,"Falls can happen quickly. If your baby cries briefly but then feeds and acts normally, observe closely. Call your clinician the same day. Go to the ER if your baby is very sleepy, vomits, or won’t move a limb.",safety,yellow
How warm should the room be for my baby?,,"Keep the room comfortably cool, about 68–72°F (20–22°C). Dress your baby in one more layer than you wear. Avoid overheating to reduce SIDS risk.",safety,green
My baby pulled a blanket over their face while sleeping.,,"Emergency. Remove the blanket right away. Always place your baby on a firm, clear sleep surface with no loose bedding. Call 911 if your baby has trouble breathing or becomes unresponsive.",safety,red
What can I do to prevent burns at home?,,"Keep hot drinks, cords, and cookware out of reach. Set water heater below 120°F (49°C). Use back burners when cooking. If a burn happens, run cool water over it and call your clinician.",safety,green
Can I use a baby walker to help with mobility?,,Avoid walkers—they are unsafe and increase fall risk. Use stationary activity centers or supervised floor time instead.,safety,green
My baby swallowed a small toy part.,,Emergency. Call 911 or go to the emergency department now. Keep your baby upright and watch for choking or breathing problems while waiting for help.,safety,red
Should I swaddle my baby for sleep?,,"Swaddling can help babies feel secure in the first months. Use a snug, hip-safe technique and always place your baby on their back. Stop swaddling once rolling begins.",safety,green
My baby grabbed a loose cord near the crib.,,"Cords are a strangulation risk. Move cribs away from windows and remove cords, strings, or mobiles within reach. Check the area daily.",safety,yellow
Do I need a separate sleep room for my newborn?,,"No. Room-sharing for at least the first 6 months is recommended. Place your baby in a crib or bassinet in your room, not in your bed.",safety,green
We missed fastening the car seat chest clip properly on a drive.,,"Recheck car seat installation every ride. The chest clip should be at armpit level and snug. If you’re unsure, schedule a car seat safety check at a local fire station or clinic.",safety,yellow
How can I keep my baby safe around pets?,,Always supervise baby–pet interactions. Teach pets gentle boundaries and never leave your baby unattended with an animal. Keep pet nails trimmed and vaccinations up to date.,safety,green
My baby chewed on a button battery before I noticed.,,Emergency. Call 911 or go to the emergency department immediately. Button batteries can cause life-threatening injury. Do not try to make your baby vomit. Bring the battery package or toy with you.,safety,red
When should I schedule my baby’s first pediatric visit after discharge?,,"Most babies are seen within a few days after hospital discharge to check weight, feeding, and jaundice. Call your pediatric clinic today to book if you don’t have an appointment. Bring any hospital paperwork and your feeding/diaper notes.",admin,green
When is my own postpartum check usually scheduled?,,"Many are seen around 6 weeks postpartum, with an earlier visit at 1–3 weeks if needed. Call your obstetric clinic to confirm timing and any special instructions if you had a C-section or complications. Bring questions about recovery, mood, and contraception.",admin,green
How do I keep track of feeds and diapers for the next visit?,,"Use a simple log or app to note start times, sides or ounces, and diaper counts. By the end of week one, aim for at least 6 wet diapers daily. Bring your notes to the appointment so your clinician can assess growth and intake.",admin,green
We missed our pediatric appointment. What should we do?,,"Call the clinic as soon as possible to reschedule, especially if it was for a weight check, jaundice follow-up, or vaccines. Share any new concerns when booking. If your baby seems ill or very sleepy, ask for a same-day visit.",admin,yellow
How do I request a lactation consultant appointment?,,Call your pediatric or obstetric office and ask for a lactation referral. Many clinics have in-house support or can connect you to community services. Bring your pump parts and feeding log to the visit.,admin,green
What vaccines are due in the first months?,,"Your pediatric clinician will follow the routine schedule, often including DTaP, polio, Hib, pneumococcal, and rotavirus in early months. Bring your vaccine card to every visit. Ask about combination vaccines to reduce needle sticks.",admin,green
How do I handle after-hours questions?,,"Most clinics have a nurse line or on-call clinician. Save the after-hours number in your phone. For emergency signs like breathing trouble or a rectal temp ≥100.4°F (38.0°C) in infants under 3 months, go to the emergency department.",admin,yellow
Can I switch our pediatric clinic?,,"Yes. Call the new clinic to confirm they accept your insurance and are taking patients. Ask them to request records from your current clinic. Bring your ID, insurance card, and vaccine record to the first visit.",admin,green
What paperwork should I bring to newborn visits?,,"Bring your ID, insurance card, hospital discharge summary, and any feeding/diaper logs. If possible, also bring the vaccine card and a list of medicines or supplements you or the baby use.",admin,green
How do I ask for a work or school excuse after delivery?,,"Call your obstetric clinic and request a note with your delivery date and recommended recovery period. If your employer needs specific wording, bring the form or portal instructions to your visit.",admin,green
What if my baby’s vaccine appointment conflicts with travel?,,Call the clinic to discuss timing. They may move the visit earlier or arrange a nurse-only vaccine slot. Keep your vaccine card with you while traveling and store any meds or formula safely.,admin,yellow
Who do I call about WIC or community support programs?,,"Ask your pediatric or obstetric clinic for local WIC and community resource contacts. They can provide phone numbers and help with referrals for nutrition, lactation, and supplies.",admin,green
How do I prepare for a telehealth visit with our pediatrician?,,"Find a quiet, well-lit spot. Have your baby’s temperature, weight (if possible), feeding/diaper log, and any medicines nearby. Test your camera and microphone in advance and keep your phone charged.",admin,green
What counts as an urgent visit vs routine?,,"Urgent: breathing difficulty, blue lips, seizures, or rectal temp ≥100.4°F (38.0°C) in infants under 3 months—seek emergency care. Routine: feeding questions, mild rashes, sleep guidance—call the clinic for next available. If unsure, use your clinic’s nurse line.",admin,yellow
How do I get forms signed for parental leave or FMLA?,,Contact your obstetric clinic for postpartum leave forms and your pediatric clinic for baby-related forms. Ask about processing time and whether they accept electronic uploads. Submit forms early to avoid delays.,admin,green
Can the pharmacy substitute a different brand of vitamin D drops?,,"Ask your pediatric clinician or pharmacist before substituting. Keep the same daily dose as prescribed. If the product changes, update your medication list and watch for any reactions.",admin,green
We don’t have a car seat appointment yet. How do we book one?,,"Many fire stations, hospitals, and clinics offer car seat checks. Call your pediatric clinic for local options or search your city’s program. Bring the seat, base, and your vehicle for hands-on fitting.",admin,green
How should I report a temperature to the nurse line?,,Use a rectal thermometer for infants under 3 months and report the exact number and time measured. A rectal temp ≥100.4°F (38.0°C) needs urgent evaluation. Share any other symptoms like poor feeding or sleepiness.,admin,yellow
We’re moving. How do we transfer records quickly?,,Call your current clinic to sign a records release and give the new clinic’s info. Ask for a printed vaccine card and summary to carry until the transfer is complete. Keep your contact details updated at both clinics.,admin,green
I missed my postpartum mood check. Should I reschedule?,,"Yes. Postpartum mood screening helps catch concerns early. Call your obstetric clinic to rebook. If you feel persistently sad, anxious, or have thoughts of harm, contact your clinician today or seek emergency help if you feel unsafe.",admin,yellow
I have a severe headache with blurry vision and upper right belly pain.,,"Emergency. Call 911 or go to the emergency department now. These can be signs of postpartum preeclampsia. While waiting, sit or lie on your left side and avoid driving.",postpartum_recovery,red
My home blood pressure is 150/100 more than once today. What now?,,"High readings after birth need same-day care. Sit and rest for 5–10 minutes, recheck, and avoid stimulants. Contact your clinician today for evaluation or go to urgent care if you also have headache, vision changes, or shortness of breath.",postpartum_recovery,yellow
When is it okay to have sex again after delivery?,,"Many clinicians recommend waiting until bleeding has stopped and any tears or incision have healed, often around 4–6 weeks. Use lubrication and go slowly. If you have pain or bleeding, stop and contact your clinician.",postpartum_recovery,green
